,date,guest,qid,certainty_P1480,sourceID,pages,quote,date_imputed
0,1835-05,Sylvain Van de Weyer,Q546727,, Morgan1863,299,"Babbage’s party last night very pleasant; got into mon petit coin—had a minister, a philosopher, a reviewer, a politician, and a dandy, successively sur la sellette. Vanderweyer charming, spirituel and observing. He inspires one with views and opinions similar to his own, and we agree upon most things.",1835-05-01
1,1835-05,Sydney Morgan,Q459275,, Morgan1863,299,"Babbage’s party last night very pleasant; got into mon petit coin—had a minister, a philosopher, a reviewer, a politician, and a dandy, successively sur la sellette. Vanderweyer charming, spirituel and observing. He inspires one with views and opinions similar to his own, and we agree upon most things.",1835-05-01
2,1845-04-26,Frances Joanna Bunbury,Q27255564,,Bunbury2011a, 59,"April 26th. We went to Babbage's evening party, which was a very agreeable one, and less inconveniently crowded than usual.",1845-04-26
3,1845-04-26,Charles Bunbury,Q1063834,,Bunbury2011a, 59,"April 26th. We went to Babbage's evening party, which was a very agreeable one, and less inconveniently crowded than usual.",1845-04-26
4,1847-04-24,Arethusa Milner Gibson,Q18810603,,Bunbury2011b,228,"Babbage's evening party and enjoyed it much. There was a great variety of people. I met many whom I knew and liked, and had much pleasant talk, especially with Sir Edward Ryan, John Moore and his brother, Dr. Falconer, and Mrs Milner.",1847-04-24
5,1847-04-24,Charles Bunbury,Q1063834,,Bunbury2011b,228,"Babbage's evening party and enjoyed it much. There was a great variety of people. I met many whom I knew and liked, and had much pleasant talk, especially with Sir Edward Ryan, John Moore and his brother, Dr. Falconer, and Mrs Milner.",1847-04-24
6,1847-04-24,Edward Ryan,Q5345150,,Bunbury2011b,228,"Babbage's evening party and enjoyed it much. There was a great variety of people. I met many whom I knew and liked, and had much pleasant talk, especially with Sir Edward Ryan, John Moore and his brother, Dr. Falconer, and Mrs Milner.",1847-04-24
7,1847-04-24,John Moore,Q16063392,,Bunbury2011b,228,"Babbage's evening party and enjoyed it much. There was a great variety of people. I met many whom I knew and liked, and had much pleasant talk, especially with Sir Edward Ryan, John Moore and his brother, Dr. Falconer, and Mrs Milner.",1847-04-24
8,1847-04-24,Hugh Falconer,Q223013,,Bunbury2011b,228,"Babbage's evening party and enjoyed it much. There was a great variety of people. I met many whom I knew and liked, and had much pleasant talk, especially with Sir Edward Ryan, John Moore and his brother, Dr. Falconer, and Mrs Milner.",1847-04-24
9,1846-02-14,Charles Dickens,Q5686,,Bunbury2011c,118,"Babbage's party this evening, the celebrated Charles Dickens was pointed out to me. His appearance, I must say, is not much in his favour, though he has certainly a clever countenance.",1846-02-14
10,1846-02-14,Charles Bunbury,Q1063834,,Bunbury2011c,118,"Babbage's party this evening, the celebrated Charles Dickens was pointed out to me. His appearance, I must say, is not much in his favour, though he has certainly a clever countenance.",1846-02-14
11,1835-03-14,Samuel Rogers,Q3471218,,Clayden1889a,116 ,"Babbage’s parties are becoming blue with Lady Morgan, Miss Jane Porter, &c.",1835-03-14
12,1835-03-14,Jane Porter,Q3161890,,Clayden1889a,116 ,"Babbage’s parties are becoming blue with Lady Morgan, Miss Jane Porter, &c.",1835-03-14
13,1835-03-14,Sydney Morgan,Q459275,,Clayden1889a,116 ,"Babbage’s parties are becoming blue with Lady Morgan, Miss Jane Porter, &c.",1835-03-14
14,1839-02-16,Ellen Coolidge,Q60536153,,Coolidge2013a,,"Here was a gathering of the elect, a ‘re-union’ of literary & scientific men, artists, authors, celebrities of both sexes. Those who like myself had no claim of learning or letters for admittance into so choice an assembly, could only rejoice in the opportunity of seeing so many Lions in one cage. We had, Mr Babbage himself the inventor of the famous calculating machine. . .",1839-02-16
15,1839-02-16,Henry Hallam,Q1234977,,Coolidge2013b,,"The persons . . . whom I meet in society have all, more or less, the same style of manners and of dress, and their ordinary conversation is pitched nearly in the same key. They vary because Nature has put it out of their power to conform in all things to a given standard, but they vary as little as they can. This, in general society, produces a certain amount of insipidity, a want of heartiness, or earnestness, of any sort of warmth or glow. At [Babbage’s] saturday evening parties, where so many political, literary, scientific & artistic characters assemble, I should say that the distinguishing mark was want of all character for good or evil. . . . [I]t seems a pity that Babbage, Hallam, Whewell, Wilkie &c &c should move about requiring . . . to have labels pinned to their backs, in order to tell one from another.",1839-02-16
16,1839-02-16,William Whewell,Q333922,,Coolidge2013b,,"The persons . . . whom I meet in society have all, more or less, the same style of manners and of dress, and their ordinary conversation is pitched nearly in the same key. They vary because Nature has put it out of their power to conform in all things to a given standard, but they vary as little as they can. This, in general society, produces a certain amount of insipidity, a want of heartiness, or earnestness, of any sort of warmth or glow. At [Babbage’s] saturday evening parties, where so many political, literary, scientific & artistic characters assemble, I should say that the distinguishing mark was want of all character for good or evil. . . . [I]t seems a pity that Babbage, Hallam, Whewell, Wilkie &c &c should move about requiring . . . to have labels pinned to their backs, in order to tell one from another.",1839-02-16
17,1839-02-16,David Wilkie,Q902759,presumably Q18122778,Coolidge2013b,,"The persons . . . whom I meet in society have all, more or less, the same style of manners and of dress, and their ordinary conversation is pitched nearly in the same key. They vary because Nature has put it out of their power to conform in all things to a given standard, but they vary as little as they can. This, in general society, produces a certain amount of insipidity, a want of heartiness, or earnestness, of any sort of warmth or glow. At [Babbage’s] saturday evening parties, where so many political, literary, scientific & artistic characters assemble, I should say that the distinguishing mark was want of all character for good or evil. . . . [I]t seems a pity that Babbage, Hallam, Whewell, Wilkie &c &c should move about requiring . . . to have labels pinned to their backs, in order to tell one from another.",1839-02-16
18,1839,Caroline Darwin,Q55363478,,Darwin1839a,,"I am very much obliged to you for your several cards which you have so kindly sent us, & which I should have had greater pleasure in accepting than any other parties, had not I found by dear-bought experience that my health will not at present stand going out in the evening. I am going to take a liberty, which I trust you will excuse; it is to ask permission for my sister who is staying with us to accompany my brother, whom I understand you have also kindly asked, to your party tomorrow evening: Mrs. Darwin not being well enough to go out at present.",1839-01-01
19,1839,Erasmus Darwin,Q5384940,,Darwin1839a,,"I am very much obliged to you for your several cards which you have so kindly sent us, & which I should have had greater pleasure in accepting than any other parties, had not I found by dear-bought experience that my health will not at present stand going out in the evening. I am going to take a liberty, which I trust you will excuse; it is to ask permission for my sister who is staying with us to accompany my brother, whom I understand you have also kindly asked, to your party tomorrow evening: Mrs. Darwin not being well enough to go out at present.",1839-01-01
20,1839,Charles Darwin,Q1035,,Darwin1839b,,"My sister is at present staying with us, will you be so kind as to allow me to bring her to your party on Saturday, that she may see the World.",1839-01-01
21,1839,Emma Darwin,Q242147,,Darwin1839b,,"My sister is at present staying with us, will you be so kind as to allow me to bring her to your party on Saturday, that she may see the World.",1839-01-01
22,1839,Frances Allen,Q96079996,,Darwin1839c,,"Will you have the kindness to excuse me, once again asking your permission to bring with Mrs. Darwin and myself, to your party on Saturday Evening, a relative of ours, Miss Allen  of Cresselly, who is staying with us.",1839-01-01
23,1840-06,Jean Charles Léonard de Sismondi,Q124073,,Darwin1840,,"I have called with this note to beg a favour of you. M. Sismondi, the historian & Madam Sismondi (my wife’s aunt) have just arrived in England and are coming together with Miss Allen to stay with us, would you, therefore, permit us to bring them to the parties, you have been kind enough to ask us to.",1840-06-01
24,1840-06,Frances Allen,Q96079996,,Darwin1840,,"I have called with this note to beg a favour of you. M. Sismondi, the historian & Madam Sismondi (my wife’s aunt) have just arrived in England and are coming together with Miss Allen to stay with us, would you, therefore, permit us to bring them to the parties, you have been kind enough to ask us to.",1840-06-01
